id,category,response,flag
395,STOP,But we should stop using AI as a shortcut.,
396,STOP,"Stop relying on students who ""know more and sooner than we ever will"" to tell faculty what AI can and should or should not do.",
397,STOP,"Stop relying on students who, quote, no more and sooner than we ever will, quote, tell faculty what AI can, so I should, so I should not do.",
398,STOP,Stop making students feel bad about using AI. It should be a connotation about about pros and cons of its use.,
399,STOP,Shouldn't it stop banning AI outright.,
400,STOP,Maybe we should stop using AI for basic tasks that could be easily human made.,
401,STOP,"I think, like, preventing use of it, or freeing usage of AI in a negative light immediately. We should discuss more on how we can actually use it in a better way.",
402,STOP,Then we should stop not letting people use grammarly in history class.,
403,STOP,"Loomis should stop hiding that we use AI, because clearly the majority uses it. I don't think there's any need to hide it. We'll all get a better understanding of how it is and isn't used.",
404,STOP,Stop allowing teachers to use AI to write letters of recommendations or things that impact our future.,
405,STOP,"I think Loomis should stop hiding that we use AI because clearly the majority uses it. I don't think there's any need to hide it Well, all then get a better understanding of how it is and isn't used.",
406,STOP,"Stop relying on AI for clarification or small details. If you were to push yourself, you could figure it out.",
407,STOP,"Stop stigmatizing the use of AI. Everyone uses it. No need to be hush-hush about it among the student body. I rarely speak to my peers about using it for specific assignments, but I feel as though it's important.",
408,STOP,Use Claude Pro instead of paying for Flint.,
409,STOP,Loomis should stop using Turnitin and Clarity.,
410,STOP,Loomis should stop using turn and clarity.,
411,STOP,"Stop banning it from certain assignments, use it to help with certain things.",
412,STOP,Stop significantly reducing entirely unsecure written assignments.,
413,STOP,"Stop kicking people out for AI for AI use. I think it's. Penalties should be applied, but students should not be removed from school for AI use.",
414,STOP,Stop using in ways which will affect student and teacher relations.,
415,STOP,"Loomis should stop discouraging AI. AI can be useful in many ways, and for our future, I feel like it's important to note how to use AI in the right way, and during high school is a great practice.",
416,STOP,They should stop giving people over level 2 and should just...,partial/illegible
417,STOP,Loomis should stop the stigma or stop making kids feel bad about using AI.,
418,STOP,"Stop making people, especially students, feel bad for using AI, especially when done appropriately.",
419,STOP,"Stop trying to be trendy using Flint with a lockdown. It's the most annoying thing ever, and it doesn't give good feedback with a lockdown.",
420,START,Start embracing AI and find ways to use it positively.,
421,START,Start doing AI usage lessons during writing workshops so students know how to properly use it.,
422,START,Start teaching students effective and ethical ways of using AI in ninth grade seminars.,
423,START,"Start being more critical about AI, casting more skeptical lens, and do the necessary work in order to determine what's worth implementing and endorsing.",
424,START,Loomis should start integrating or encouraging AI in general. It will be vital to students for our success. A Class on AI would be an example.,
425,START,Start promoting uses of AI other than writing.,
426,START,Start to use AI in the academics for those who are struggling.,
427,START,Start being honest about AI use.,
428,START,Start including students on building a culture that promotes academic integrity.,
429,START,We should start having real discussions about grading and assessment practices. And culture and make changes that will help us center the kind of work we want.,
430,START,"Start creating school- and teacher-approved resources. For example, feedback bots for when the teacher isn't available, so students won't have to turn to less helpful means involving AI.",
431,START,"Start having a clear, well-articulated AI policy with specific instructions for AI use on every assignment.",
432,START,Then we should start establishing rules / groundwork for each assignment regarding the rules for AI use. Should be more common and established frequently.,
433,START,Loomis should start teaching students how to properly use AI.,
434,START,Start promoting the use of AI because it is the future.,
435,START,I feel that we have to start using AI for more note taking than studying.,
436,START,Start creating a testing location where students can schedule time to complete an assessment without or with controlled resources.,
437,START,"Loomis should start being more mindful about specific use cases of AI, since it is growing so exponentially.",
438,START,Start allowing the use of AI in more ways.,
439,START,But we should start to be more open about when it is used.,
440,START,Loomis should start to acknowledge the good in AI in certain areas.,
441,START,"Start being clear about the purpose of assignments for students, why we want them to think and how to grow.",
442,START,"Loomis should start having assignments where AI does not give a competitive advantage. Like a reflection, where you just write what you thought and what you felt. AI will never replicate that.",
443,START,"Loomis should start teaching students how to use AI properly, and what is a reasonable boundary for AI usage.",
444,START,"Loomis needs to start getting into more debate and discussions, such as this one, in order to figure out what to do.",
445,START,Loomis should start talking about the environmental impacts of AI as well as how it harms individuality.,
446,START,"Loomis should start making learning goals more clear, understandable, and relevant.",
447,START,We should start AI education and literacy courses.,
448,START,"We should start empowering students to learn how to use the tool, enable them.",
449,START,Start teaching helpful ways to use AI that do not violate the policy.,
450,START,"Keep, teach helpful ways to use AI that do not violate the policy.",
451,START,Start being more clear about what responsible uses of AI look like in each class.,
452,START,Start making tutors like in this situation if the teacher isn't there.,
453,START,We should start educating students in the dangers of AI instead of just punishing or reprimanding them.,
454,START,Loomis should incorporate more AI opportunities when possible. To make students used to using AI for the professional world.,
455,START,We should start informing us about AI's potential to help in a learning atmosphere.,
456,START,We should start ensuring that teachers and students are educated on news and context issues about generative AI.,
457,START,"Start having an AI tool where you can see what you are doing with AI — using Flint, for example — in more classes.",
458,START,"I think Loomis should start accepting candid conversations about AI with the goal of learning rather than punishment. Also, teach how to use it better in seminar classes.",
459,START,Start recognizing expectations about how teachers and students should use it.,
460,START,Start radically rethinking how we assess student learning.,
461,START,And we should start teaching us responsible ways of how to use AI as a resource.,
462,START,Start giving us different methods we can approach AI for further our understanding.,
463,START,And we should start teaching students in detail ways to use AI as a tool rather than a shortcut.,
464,START,Start having more discussions like this one on a larger scale to share thoughts and opinions between faculty and students.,
465,START,"Start providing more specifics on when, where, how we can use AI in each class.",
466,START,Start centering how AI can actually improve student learning.,
467,START,Have a Separate strike system for AI academic dishonesty.,
468,START,Start having all teachers give very clear guidelines on how AI can or should be used in their classes.,
469,START,Start allowing students to generate ideas off of AI.,
470,START,We should start accepting it more. It's going to keep developing and we can't stop it. So find ways around it.,
471,START,And we should start finding better ways to find AI. Because it penalizes not using it.,
472,START,We should start introducing AI in some classes while educating us on how to use it effectively.,
473,START,"We should start clarifying protocols around AI use. We should also start providing time and resources for faculty to learn about and deal with AI in their classrooms, as it has added an enormous layer of time to our jobs in order to develop AI-resistant assignments and strategies, as well as deal with AI academic dishonesty cases.",
474,START,Start having assignments that incorporate a fair use of AI. So students learn how to ethically use AI.,
475,START,Start clarifying when using AI is appropriate.,
476,START,Loomis should start having a required expectation for teachers to provide guidelines for acceptable AI usage on an assignment-by-assignment basis.,
477,START,We should start accepting that AI use is getting out of control.,
478,START,Loomis should start promoting AI tutoring models for every class.,
479,START,Start creating tutors for specific offices.,
480,START,They should start using AI to come up with / look up good guest speakers for convocations.,
481,START,Start finding better ways to identify AI and assessments.,
482,START,Be more clear and direct about expectations and punishments.,
483,START,Start using AI to help with feedback on assignments and essays.,
484,START,Loomis should start making AI use more clear for each and every class so that students do not accidentally use it in a way that's not permitted.,
485,START,"Loomis should start having more leeway when it comes to using AI, but still have some boundaries.",
486,START,"Loomis Chaffee should start considering the broader implications of AI use: moral, legal, pedagogical, and environmental factors.",
487,START,Start trusting each other that we can use AI properly and give specific expectations for AI use.,
488,START,Start not only talking negatively about AI.,
489,START,Have clear instructions on every assessment or assignment about AI use.,
490,START,Loomis should make their own site for AI.,
491,START,Start having more specific policies when it comes to AI and academic integrity issues.,
492,START,Loomis should make. their own site for AI.,
493,START,"I mean, we should start being more open to AI rather than shutting it down completely.",
494,START,"Loomis should educate people on AI risks and find why students use it, not just punishing them.",
495,START,"Start encouraging different forms of assessment, prioritizing process over product, including AI use at various stages as a learning experience.",
496,START,More integration of smart AI use.,
497,START,"Loomis should free up student use of AI, because one way or another, its role is increasing in our world.",
498,START,Start using AI to build writing tutors in English and the humanities.,
499,START,Start being extremely clear about when using AI is okay.,
500,START,I think Loomis should start teaching students acceptable ways to use AI to create an understanding between teachers and students.,
501,START,Start implementing it as a tool.,
502,START,"Loomis should free up student abilities of AI, because one way or another, his roles increasing in our world.",
503,START,Loomis should be more clear about the guidelines they have for AI use. Stop having a negative outlook on it.,
504,START,"Give students positive ideas to use it for, for example, study guides.",
505,START,Give back Quizlet Plus.,
506,START,Start reflecting and discussing impacts on environment and in broader context of screen time and human connections.,
507,START,Loomis should be more clear about the guidelines they have for AI use. Stop having a negative outlook on it.,
508,START,Be fair to the students who don't use AI and then get a worse grade than those who did use AI. Reevaluate grading.,
509,START,"Loomis should create a few AI classes across different disciplines, as AI will be infinitely more useful than a majority of our current curriculum.",
510,START,Promote a healthy relationship with AI — not overuse and not improper use.,
511,START,"Be fair to the students who don't use AI and then get a worse grade than those who did use AI, reevaluate grading.",
512,START,"Loomis create a few AI classes across different practices, as AI will be infinitely more useful than a majority of our current curriculum.",
513,START,We should start incorporating how to use AI in seminar and STEM-related research.,
514,START,Start requiring teachers to identify AI expectations on every graded assignment.,
515,START,Give more workshops on how to use it.,
516,START,Start allowing AI to be used as a study tool to benefit your understanding. Of a topic.,
517,START,We should start. incorporating how to use AI and seminar and STEM related research.,
518,START,Start requiring teachers to identify AI expectations on every graded assignment.,
519,START,Loomis should start requiring teachers to specify what exactly and how exactly AI can and cannot be used for every graded assignment.,
520,START,Start learning how to portray AI in a neutral light.,
521,START,Start embracing AI as a viable tool. Start decreasing the advantage that AI users have.,
522,START,"Start being transparent about AI expectations, unique to each assignment.",
523,START,"Start allowing us to use AI more, such that we can explore its potentials rather than using it as a cheat sheet.",
524,START,Start answering the why of skills and processes.,
525,START,Loomis should start requiring teachers to specify what exactly and how exactly AI can and can be used for every graded assignment.,
526,START,Start learning how to portray AI in a neutral light.,
527,START,"Start having each assignment, department, and teacher use the same language around unacceptable AI use.",
528,START,"Start being transparent, unique to each assignment.",
529,START,Start encouraging critical thinking about why and cost of AI and cognition.,
530,START,Start normalizing AI in certain acceptable ways to discourage students and teachers from secretly using AI in bad ways.,
531,START,Start teaching us how to apply it in the real world in ways to use it well.,
532,START,Start educating the detrimental impact AI has on the environment.,
533,START,Start implementing it more in classes so we get more used to it and skilled in using it efficiently.,
534,START,"Each assignment, Department and teacher uses same language, unacceptable use.",
535,START,Then we should start being more open with using AI as a tool instead of judgment.,
536,START,Start creating assignments where AI is permitted for things that can be beneficial.,
537,START,Loomis should start to be clearer on what is considered a good use of AI.,
538,START,Clarity among all faculty and departments on use for assignments.,
539,START,Start giving students textbooks. They prefer relational reading and learning.,
540,START,More clarity for each assignment.,
541,START,"Start to double down on our values and make the human interactions, which are messy and beautiful.",
542,START,"Start creating assignments or AIs permitted, things can be beneficial.",
543,START,"Start having regular workshops, maybe each term, to understand what AI really is and what it can do, to improve on the educational experience.",
544,START,Start providing workshops on AI tool usage in specific context.,
545,START,Start giving students textbooks. They prefer relational reading. Learning.,
546,START,"Start offering more extra help / tutoring hours, or a custom AI tool that matches the class's expectations or materials.",
547,START,Start teaching students how to use AI instead of how not to. Start explaining what the purpose of an exercise is and why or how AI should or shouldn't be used so students can relate to it.,
548,START,Loomis should start giving attention to other issues beyond academics.,
549,START,Start demanding and expecting clarity around AI use in and out of the classroom.,
550,START,Start using AI as a tool to enhance learning and understanding.,
551,START,Start sharing AI use success stories.,
552,START,Start teaching faculty real ways to use it practically.,
553,START,"Loomis should start to give attention for other issues. Of Never mind, scratch that. Loomis should start to give attention to other issues than in academics, like making stuff.",partial/illegible
554,START,Start talking about the impacts of AI beyond the island.,
555,START,Start finding ways to incorporate choice and use into assessments.,
556,START,Start educating students about what AI can actually do.,
557,START,Start sharing AI use success stories.,
558,START,Start finding ways to give students other options than using AI so students don't feel obligated to use it.,
559,START,We should start looking for ways to include AI to help students and teachers.,
560,START,We should start being very consistently transparent about expectations for AI usage in the classroom.,
561,START,"Start allowing certain use of AI for help, not full plagiarism.",
562,START,"We should start designing more assignments, knowing that AI will be likely used as a source or tool.",
563,START,We should stop making announcements in all-school meetings about AI. Maybe classes should address it individually.,
564,START,Start being more open to different approaches with AI.,
565,START,Then we should start integrating AI into more school work. With certain restrictions.,
566,START,We should start showing students how to use AI safely.,
567,START,We should start having freshman and sophomore seminar include how to use AI ethically.,
568,START,Loomis should be less antagonistic towards students using AI.,
569,START,Loomis should start valuing the hard work in assignments.,
570,START,Loomis should start showing students and teachers how to use AI efficiently and safely.,
571,START,Start being explicit about our expectations.,
572,START,Start creating an ongoing series for teachers on best practices.,
573,START,We should start having Standard policies for every class.,
574,START,"Start listening to how students are using AI. They should be part of all policy discussions, because they're using it and thinking about big picture implications already.",
575,START,"Start paying for AI access for all faculty and students, and provide more class time for feedback and assessment to limit AI use for these purposes.",
576,START,Start teaching how to utilize AI. Maybe have a class about it.,
577,START,Because they're using it and thinking about big picture implications already.,
578,START,"Start pay paying for AI for all faculty students, and more class time for feedback and assessment to limit AI use for these purposes. S. Start teaching how to utilize AI. Maybe you have a class about it.",
579,START,Make clearer rules and boundaries on the usage of AI. Build a closed AI model for student use at Loomis.,
580,START,Start letting people use it for more things.,
581,START,We should start teaching students how to use AI appropriately.,
582,START,Make clearer rules and boundaries on the usage of AI. Build a closed AI model of student use for Loomis.,
583,START,Loomis should be more clear with students about what AI uses are acceptable versus unacceptable.,
584,START,"Loomis should learn how to incorporate use of AI in the class, but in a balanced fashion.",
585,START,We should start having more guided conversations in order to figure out a suitable policy for both student and teacher.,
586,START,Loomis should be more clear with students about what AI uses are acceptable versus unacceptable.,
587,START,"Start thinking outside the box of what school can be. In this new world, for example, our schedule.",
588,START,Start allowing AI so that students can be ahead of the curve.,
589,START,But we should start letting students use AI for certain things in their work as long as it's not doing it all for them.,
590,START,Start clarifying assignment prompts with what is or isn't okay to use on the assignment.,
591,START,"Start making clearer policies and rules, especially for assignments.",
592,START,Start being more clear on the allowed uses of AI and have consistency in clarifying.,
593,START,"Start being more clear on assignment-based level what the learning, expectations and goals are.",
594,START,Start providing better context for when and how you can use AI.,
595,START,"Start making teachers define where AI is or isn't acceptable in clarifying learning goals to eliminate gray areas, ethics wise.",
596,START,"Start viewing AI as a tool for research and studying, start workshops on how to properly prompt AI.",
597,START,Loomis should start letting students use AI for certain assignments that they are struggling.,
598,START,Start embracing AI.,
599,START,"Start adapting to the use of AI, both in and out-of-class.",
600,START,Finalize and issue guidelines for faculty and staff about AI usage.,
601,START,Loomis should start sharing specific rules or expectations around the assignment or classes for students to know when AI use is acceptable or unacceptable.,
602,START,Loomis should start sharing specific rules or expectations around assignments or classes for students to know when AI use is acceptable or unacceptable.,
603,START,Start being certain that students understand exactly what skill development a task is supporting.,
604,START,"We should start helping students to understand the power of AI, and how to use the technology in a respectable manner. Start making example formulas for chemistry.",
605,START,Loomis should be more open to using it.,
606,START,Loomis should decouple the AI productivity discourse from our conversation about how it integrates or does not with learning. Students should value productivity less and embrace struggle.,
607,START,Create a culture in which students are able to talk freely about why they choose AI when it's not allowed and when this happens. What can we learn about our larger school system by listening to them.,
608,START,Loomis should decouple the AI productivity discourse from our conversation about how it integrates or does not with learning. Students should value productivity less and embrace struggle.,
609,START,"Create a culture in which students are able to talk freely about why they choose AI when it's not allowed, and when this happens, what can we learn about our larger school system by listening to them?",
610,START,Specify for each assignment to what extent AI can be used. Have class that teaches how to use AI that aligns with the purpose to it. But the duty of the users.,
611,START,I think that we should be more open-minded with the potential benefits of AI and how it can be helpful.,
612,START,Specify for each assignment to what extent AI can be used. Have a class that teaches how to use AI that aligns with the purpose and the duty of the users.,
613,START,Start education on AI use.,
614,START,"Start being more transparent about talks on campus, seeking more, a lot more feedback from students. student council, student leaders, et cetera.",
615,START,Start accepting kids are going to use AI for assignments.,
616,START,"Start being more transparent about talks on campus, seeking a lot more feedback from students — student council, student leaders, etc.",
617,START,"Start training on Claude, Brisk, et cetera, for all.",
618,START,Start adding lightly to assignments before students do.,
619,START,Start refining AI policy to match educational ways of learning. Include AI within the student handbook code of conduct.,
620,START,"Start training on Claude, Brisk, etc., for all.",
621,START,Start adding AI lightly to assignments before students do.,
622,START,Start teaching proper ways to use AI and its applications.,
623,START,Start a vibe coding boot camp for all.,
624,START,Loomis should stop disabling grammar checking tools.,
625,START,Loomis should start out-of-class writing.,
626,START,Start letting AI be implemented more at Loomis.,
627,START,Start supporting the use in some scenarios.,
628,START,Loomis should stop disabling grammar checking tools.,
629,START,Loomis should start allowing out-of-class writing.,
630,START,"Start letting students use it when it comes down to efficiency. You should always be able to use AI on long, simple, tedious test.",
631,START,Loomis should start teaching students how to effectively use AI.,
632,START,Start encouraging growth more.,
633,START,Start punishing egregious AI use more and make it easier for teachers to enforce AI rules.,
634,START,Start in classes on the lockdown browser.,
635,START,"Start. Evolving. We need to embrace AI, not run for it. Allow out-of-class essays.",
636,START,Start using lockdown browser for all essays.,
637,START,"Start evolving. We need to embrace AI, not run from it. Allow out-of-class essays.",
638,START,Loomis should start creating cleaner guidelines for when AI is acceptable.,
639,START,"We should start creating a school wide AI policy, so all students and faculty are on the same page.",
640,START,Start discussing AI suspicion with students and teachers 1st.,
641,START,Start having clear rules and examples of what students can and cannot use AI for.,
642,START,Loomis should help students learn how to use AI in a positive way.,
643,START,We should start telling teachers to be implicit about their AI policies.,
644,START,"Start having assignments that involve AI, allow for editing purposes.",
645,START,We should start telling teachers to be explicit about their AI policies.,
646,START,Start creating more human resources for assignment help.,
647,START,Loomis should start incorporating AI tools in classrooms to promote learning in a fun way. Start teaching people how to use AI.,
648,START,Start discussing the environmental impacts of AI in more serious and concrete ways. Perhaps look for local examples and take field trips to data centers.,
649,START,Start using the work of AI to model what teachers are looking for with assignments.,
650,START,Start creating guidelines.,
651,START,Start making assignments and make it harder to use AI or make assignments where AI is involved. It can be used as a tool.,
652,START,Loomis should allow students and teachers to use AI in the classroom.,
653,START,We should start being proactive about AI use and prevention.,
654,START,Start having systems put in place so we can keep writing essays outside of class.,
655,START,"Start offering concrete, applicable training.",
656,START,Start talking more often about AI.,
657,START,Start keeping non AI spaces and activities sacred.,
658,START,Start using AI to generate more experiential learning exercises.,
659,START,Loomis Chaffee should start teaching how to prompt AI to help us with assignments.,
660,START,Start discussing the implications and applications of AI.,
661,START,Provide more tutorials for teachers and students on effective uses of AI for lessons in student engagement.,
662,START,"Start having a clear framework of when AI usage is appropriate, and when it's not.",
663,START,Loomis should start having more regulations and rules regarding AI.,
664,START,Loomis Chaffee should make sure all students and faculty have equal access to the AI platforms in use or allowed to be used by the school.,
665,START,Start discussing the moral implications of its use.,
666,START,Start discussing the implications and applications of AI.,
667,START,Start making study guides and worksheets.,
668,START,Start acknowledging more of the use of AI in professional settings.,
669,START,Start integrating it into assignments.,
670,START,Loomis Chaffee should make sure all students and faculty have the equal access to the AI platforms in use or allowed to be used by the school.,
671,START,Start being more encouraging and trusting students more.,
672,START,Start collaborating with students to come up with practical AI implementations.,
673,START,Loomis should start building AI into assignments if students need to use it.,
674,START,Start having more transparency. Both students and teachers should cite the use of AI.,
675,START,Start to use flint tutoring more.,
676,START,Use AI in class and work with any groups.,
677,START,Loomis should start building it into assignments if students need to use it.,
678,START,"Start, being very specific, setting very specific boundaries on what constitutes cheating.",
679,START,Start using AI to learn more.,
680,START,Start thinking about the environmental effects.,
681,START,Loomis Chaffee should start showing kids how to prompt AI on certain assignments.,
682,START,Loomis should start allowing AI to help with essay revisions and allow students and teachers to use it in class.,
683,START,Start teaching about the ethics of using AI.,
684,START,We should start exploring how AI can help students — perhaps create a responsible AI usage handbook.,
685,START,"Start educating people and students about the technological underpinnings of AI, the technical limitations, different types of models, and where AI is really useful research-wise.",
686,START,Start raising awareness on the environmental and mental health implications.,
687,START,Start studying with it for tests.,
688,START,Start using AI responsibly.,
689,START,Loomis should start teaching students how to use it.,
690,START,Loomis should start having more talks about AI and stop looking at it in a negative light.,
691,START,Start having department specific AI use consultations.,
692,START,Start having more healthy conversations about AI to promote transparency.,
693,START,"Start educating students how to use AI, as we will ultimately use it later in life.",
694,START,"Start having very clear directions and parameters, treating AI use for students the same as teachers, and openly discussing AI. Start generating better official policies around writing and revision that are absolutely protective and fostering of students and teachers, but also of creativity, voice, thought, and self.",
695,START,Loomis should start being more clear on what is allowed and not allowed for using AI.,
696,START,Loomis Chaffee should start showing kids how to prompt AI on certain assignments.,
697,START,Should start allowing AI to help with essay revisions and allow students and teachers to use it in class.,
698,START,Start teaching about the ethics of using AI.,
699,START,"Loomis should start comparing student voice in in-class versus out-of-class essays. Also, have students give a mini oral defense — do they even know what they are arguing?",
700,START,Start an AI replacement for when your teacher isn't available that matches them in their style and their expectations.,
701,START,Loomis should start revamping entirely the AI guideline system to make boundaries clearer.,
702,START,"Loomis should start approaching AI usage with an open mind to promote curiosity and limit accusation, especially if there is no concrete evidence.",
703,START,And we should start making teachers be more clear with personal boundaries in the use of AI on assignments.,
704,START,"Start encouraging more integration to schoolwork to aid in learning, not cheating, but taking advantage of an extensive resource.",
705,START,"Start clarifying teacher use of AI. We have mostly focused on student use, but more around teacher use should be done to ensure uses are aligned with our values and integrity as educators. Start using a lane one versus lane two model for assessments.",
706,START,"Then we should start encouraging the use of AI in certain areas, for example, brainstorming, note taking, et cetera.",
707,START,"Loomis should start clarifying whether or not AI is allowed on an assignment. Sometimes teachers will encourage you to use it, and then other times teachers are super against it.",
708,START,Start building AI tools into class pedagogy.,
709,START,"Start having very clear directions and parameters, treating AI use for students the same as teachers, and openly discussing AI. Start generating better official policies around writing and revision, et cetera, that is absolutely, absolutely protective and fostering of students, and teachers, but secondarily, creativity, and generation of voice and thought and self.",
710,START,Start making more restrictions.,
711,START,Start being more transparent about faculty use of AI.,
712,START,They should start interacting more with it to help us understand where AI excels and where there are significant deficits.,
713,START,Loomis should start using AI for weekend activities and ideas to help blossom our community.,
714,START,"I think Loomis should start educating students on the environmental and ethical aspects of AI in regular classes, such as seminar, if it isn't already. Students should be able to properly learn about the positives and negatives without having to take a separate class for it.",
715,START,Loomis Chaffee should start thinking about AI as a problem solver instead of a work replacer.,
716,START,"Loomis should start approaching AI usage with an open mind to promote curiosity and limit accusation, especially if there is no concrete evidence.",
717,START,Start recalibrating assessment priorities to better value human work.,
718,START,We should start creating helpful teacher-made chatbots to encourage beneficial AI use.,
719,START,"Start clarifying teacher use of AI. We have mostly focused on student use, but more around teacher use should be done to ensure uses aligned with our values and integrity as educators. Start using lane one versus lane 2 model for assessments.",
720,START,"Teachers should start to implement AI use as a resource. For English, personalizing a chat bot, STEM related classes as well.",
721,START,"Loomis should start clarifying whether or not AI is not an assignment. Sometimes teachers will encourage you to use it, and then other times teachers are super against it.",
722,START,"Start doing more activities, projects in class that depend on individual thinking to limit AI dependence, maybe more creativity.",
723,START,"Start promoting and teaching how to use AI, as we are moving towards that in our world.",
724,START,"Start helping teachers to create tutors for their specific class, not just a general overview, especially as AI continues to change from both the learning and teaching side.",
725,START,"Give clear guidance, including more one-on-one feedback and peer review to reduce reliance on AI when reviewing work.",
726,START,Maybe we should start teaching how to use AI.,
727,START,"I think Loomis should start educating students on the environmental and ethical aspects of AI in regular classes, such as seminar if it isn't already. I think students should be able to properly learn about the +and negatives completely without having to take a class for it.",
728,START,Loomis Chaffee should start thinking about AI as a problem solver instead of a work replacer.,
729,START,Then we should start finding ways to use AI for revision or study guides in English or other classes.,
730,START,Create an institutional policy on AI usage.,
731,START,We should start creating helpful teacher-made chatbots to encourage beneficial AI use.,
732,START,"Create a better use for AI and teach kids how to use it. For example, a class on AI.",
733,START,"Start allowing more practical uses of AI, as it becoming more and more utilized in the workforce.",
734,START,"Have a policy, clarity around acceptable use. Is this possible, maybe with an annual review.",
735,START,"Start checking more or consider grading those who didn't use AI, but did worse than those who used it and reconsider those grades.",
736,START,"Start helping teachers to create tutors for their specific class, not just an overview to everyone, especially as AI continues to change from both the learning and teaching side.",
737,START,Give clear guidance.,
738,START,Including more one-on-one feedback and peer review to reduce the prevalence of reliance on AI when reviewing work.,
739,START,Be more open to studying with it.,
740,START,"Create clear guidelines with when, where, and how it's okay to use.",
741,START,And we should start allowing students utilize AI when it comes to checking work.,
742,START,"Start making concrete plans on AI regulation. Currently, there are different regulations on AI based on subjects and assessments.",
743,START,"Start having AI group chats that already have class materials in them, so students don't use AI with the wrong or off-topic info.",
744,START,Loomis should start enforcing restrictions on the extent AI is being used.,
745,START,Start upholding higher expectations for teacher in regard to their uses of AI. Don't just look at the students.,
746,START,"Start having teachers working with AI, custom tutors, and study guides.",
747,START,"Create a better use for it and teach kids how to use it. For example, a class on AI.",
748,START,"Start setting boundaries. For example, don't give me the answer, but don't make outright prohibitions either.",
749,START,"At Loomis, we should start being more open-minded when it comes to AI, and maybe allow fewer restrictions with some guidelines still in place.",
750,START,Start developing clear boundaries on AI use in school and inside the classroom.,
751,START,Start making AI a resource for helping study.,
752,START,"We should start making the boundaries of using AI more clear to students, so it's less ambiguous.",
753,START,Start educating on AI's impact on self and community.,
754,START,"Then we should start using AI to help encourage more ideas, incorporating them into different subjects.",
755,START,I think Loomis should start doing more information seminars on AI to help students and teachers better understand it.,
756,START,We should change the ideas of AI used to be more useful and beneficial and let people express their feelings about it.,
757,START,Start letting us know when it is okay to use AI.,
758,START,"Start letting us know when it's okay to use AI, and start using lockdown browsers.",
759,START,Loomis should start enforcing. Restrictions on the extent AI is being used.,
760,START,Start holding teachers and students to the same standard of AI.,
761,START,"I think when it comes to AI of Loomis, we should start being more open to AI, because it's really not all that bad.",
762,START,"Start setting boundaries. For example, don't give me the answer. Don't make any prohibitions.",
763,START,We should create workshops on how to properly use AI for teachers and students.,
764,START,"Loomis should start integrating AI into humanities more often, especially in research.",
765,START,Encourage the use of AI as a tool. Set very clear guidelines for every assignment.,
766,START,Make start making AI to not be a resource for helping study.,
767,START,"Start using AI to an extent, for example, study guide questions.",
768,START,Start having teachers set guidelines for AI use in class.,
769,START,Start being more specific about when AI could be used.,
770,START,I think that having an actual class where we learn how to use AI properly would be cool. Start teaching us how and fun to use AI.,
771,START,"Loomis should start formalized AI literacy for students, talking about ethics more, and developing policies for teachers.",
772,START,Start having more training with examples of appropriate and useful AI tools for teaching. Start having more workshops and collaborative sessions for making assessments AI-proof or AI-collaborative.,
773,START,"Loomis should start allowing teachers to use AI for lower-stakes, quick exercises.",
774,START,Start making a workshop centered around AI use.,
775,START,Start letting us know when it is okay to use AI.,
776,START,Loomis should encourage and set boundaries for AI in classrooms so students don't use the tool in a cheating way.,
777,START,Loomis should start using AI for further or other explanations because we all don't think the same way. And AI always has more than one way of explaining.,
778,START,Start making AI more applicable subjects in classroom.,
779,START,Start being more intentional with building AI skills into the curriculum.,
780,START,More instruction of how to use it instead of when. Be more involved with the environmental aspects.,
781,START,Start clearly articulating goals of learning for each assignment and what resources can and cannot be drawn on.,
782,START,"Loomis should start integrating AI into humanities more often, especially in research.",
783,START,Start encouraging students to use it for studying.,
784,START,Start writing more specific guidelines about AI on assignments.,
785,START,"As AI becomes more prominent in years to come. I think it's important that teachers clarify what the boundaries for the uses are. AI can help with the multitude of things, so clarifying is crucial.",
786,START,Communicate clear guidelines for all cases and assessments.,
787,START,Start helping students use it to the best of their ability.,
788,START,Start having more focused training of faculty on the use of specialized AI programs available for education.,
789,START,Start promoting the use of AI for study guides and test prep.,
790,START,Loomis should start to spread awareness and teach students how to properly and beneficially use AI.,
791,START,Start talking about the environmental impacts of using AI.,
792,START,"Start offering different strategies of using AI in a classroom setting. Study guide simulations, practice quizzes, et cetera.",
793,START,Loomis should start normalizing students using AI to prep for exams.,
794,START,"Loomis should start, formalized AI literacy for students, and talking about ethics more and policies for teachers.",
795,START,"Start having more training, such examples of appropriate and useful AI tools for teaching. Start having more workshop and collaborative sessions for making assessments unhackable or AI collaborative.",
796,START,"Loomis should start being more open to AI use in all areas, because it is a great learning tool.",
797,START,Start giving out clearer policies to students with rubrics. This makes it easier for both students and teachers to be on the same page.,
798,START,Loomis should start being more clear about AI use.,
799,START,Start considering whether we are interested in the impacts of data centers on the environment and marginalized communities.,
800,START,This should encourage and set boundaries for AI in classrooms so students don't use the tool in a cheating way.,
801,START,Start being more specific about AI policies and teacher's expectations and values.,
802,START,Loomis should start asking for processes when writing to see how the student was thinking. Loomis should be more specifically clear about how students use AI.,
803,START,Start teaching correct ways to ask for help.,
804,START,Start being more intentional with AI building. Skills into the curriculum.,
805,START,Start encouraging positive AI use while also providing specific platforms and prompts for further learning and subjects.,
